level_code,title,pattern,jp,es
N4,Capacidad,〜ことができる,日本語を話すことができる,Puedo hablar japonés.
N4,Capacidad,〜ことができる,よく、日本語を話すことができる。,"A menudo, Puedo hablar japonés."
N4,Capacidad,〜ことができる,よく、日本語を話すことができるよ。,"A menudo, Puedo hablar japonés."
N4,Capacidad,〜ことができる,よく、日本語を話すことができるね。,"A menudo, Puedo hablar japonés."
N4,Capacidad,〜ことができる,よく、日本語を話すことができるですよ。,"A menudo, Puedo hablar japonés."
N4,Capacidad,〜ことができる,よく、日本語を話すことができるね？,"A menudo, Puedo hablar japonés."
N4,Capacidad,〜ことができる,たまに、日本語を話すことができる。,"A veces, Puedo hablar japonés."
N4,Capacidad,〜ことができる,たまに、日本語を話すことができるよ。,"A veces, Puedo hablar japonés."
N4,Capacidad,〜ことができる,たまに、日本語を話すことができるね。,"A veces, Puedo hablar japonés."
N4,Capacidad,〜ことができる,たまに、日本語を話すことができるですよ。,"A veces, Puedo hablar japonés."
N4,Capacidad,〜ことができる,たまに、日本語を話すことができるね？,"A veces, Puedo hablar japonés."
N4,Capacidad,〜ことができる,時々、日本語を話すことができる。,"De vez en cuando, Puedo hablar japonés."
N4,Capacidad,〜ことができる,時々、日本語を話すことができるよ。,"De vez en cuando, Puedo hablar japonés."
N4,Capacidad,〜ことができる,時々、日本語を話すことができるね。,"De vez en cuando, Puedo hablar japonés."
N4,Capacidad,〜ことができる,時々、日本語を話すことができるですよ。,"De vez en cuando, Puedo hablar japonés."
N4,Capacidad,〜ことができる,時々、日本語を話すことができるね？,"De vez en cuando, Puedo hablar japonés."
N4,Capacidad,〜ことができる,普段は、日本語を話すことができる。,"Normalmente, Puedo hablar japonés."
N4,Capacidad,〜ことができる,普段は、日本語を話すことができるよ。,"Normalmente, Puedo hablar japonés."
N4,Capacidad,〜ことができる,普段は、日本語を話すことができるね。,"Normalmente, Puedo hablar japonés."
N4,Capacidad,〜ことができる,普段は、日本語を話すことができるですよ。,"Normalmente, Puedo hablar japonés."
N4,Capacidad,〜ことができる,普段は、日本語を話すことができるね？,"Normalmente, Puedo hablar japonés."
N4,Experiencia,〜たことがある,寿司を食べたことがある,He comido sushi alguna vez.
N4,Experiencia,〜たことがある,よく、寿司を食べたことがある。,"A menudo, He comido sushi alguna vez."
N4,Experiencia,〜たことがある,よく、寿司を食べたことがあるよ。,"A menudo, He comido sushi alguna vez."
