level_code,title,pattern,meaning_es,meaning_en,notes,tags,jp,romaji,es,en,hint,source
N5,Presente afirmativo,〜です,es/ser/to be,is/are/am,Cópula formal,formal;básico,毎日 学校で 私は 本を これは本です,kore wa hon desu,Esto es un libro.,This is a book.,cloze,Jitopia
N5,Presente afirmativo,〜です,es/ser/to be,is/are/am,Cópula formal,formal;básico,昨日 学校で 私は 本を これは本です,kore wa hon desu,Esto es un libro.,This is a book.,cloze,Jitopia
N5,Presente afirmativo,〜です,es/ser/to be,is/are/am,Cópula formal,formal;básico,今日 学校で 私は 本を これは本です,kore wa hon desu,Esto es un libro.,This is a book.,cloze,Jitopia
N5,Presente afirmativo,〜です,es/ser/to be,is/are/am,Cópula formal,formal;básico,明日 学校で 私は 本を これは本です,kore wa hon desu,Esto es un libro.,This is a book.,cloze,Jitopia
N5,Presente afirmativo,〜です,es/ser/to be,is/are/am,Cópula formal,formal;básico,時々 学校で 私は 本を これは本です,kore wa hon desu,Esto es un libro.,This is a book.,cloze,Jitopia
N5,Presente afirmativo,〜です,es/ser/to be,is/are/am,Cópula formal,formal;básico,毎日 家で 私は 本を これは本です,kore wa hon desu,Esto es un libro.,This is a book.,cloze,Jitopia
N5,Presente afirmativo,〜です,es/ser/to be,is/are/am,Cópula formal,formal;básico,昨日 家で 私は 本を これは本です,kore wa hon desu,Esto es un libro.,This is a book.,cloze,Jitopia
N5,Presente afirmativo,〜です,es/ser/to be,is/are/am,Cópula formal,formal;básico,今日 家で 私は 本を これは本です,kore wa hon desu,Esto es un libro.,This is a book.,cloze,Jitopia
N5,Presente afirmativo,〜です,es/ser/to be,is/are/am,Cópula formal,formal;básico,明日 家で 私は 本を これは本です,kore wa hon desu,Esto es un libro.,This is a book.,cloze,Jitopia
N5,Presente afirmativo,〜です,es/ser/to be,is/are/am,Cópula formal,formal;básico,時々 家で 私は 本を これは本です,kore wa hon desu,Esto es un libro.,This is a book.,cloze,Jitopia
N5,Presente afirmativo,〜です,es/ser/to be,is/are/am,Cópula formal,formal;básico,毎日 会社で 私は 本を これは本です,kore wa hon desu,Esto es un libro.,This is a book.,cloze,Jitopia
N5,Presente afirmativo,〜です,es/ser/to be,is/are/am,Cópula formal,formal;básico,昨日 会社で 私は 本を これは本です,kore wa hon desu,Esto es un libro.,This is a book.,cloze,Jitopia
N5,Presente afirmativo,〜です,es/ser/to be,is/are/am,Cópula formal,formal;básico,今日 会社で 私は 本を これは本です,kore wa hon desu,Esto es un libro.,This is a book.,cloze,Jitopia
N5,Presente afirmativo,〜です,es/ser/to be,is/are/am,Cópula formal,formal;básico,明日 会社で 私は 本を これは本です,kore wa hon desu,Esto es un libro.,This is a book.,cloze,Jitopia
N5,Presente afirmativo,〜です,es/ser/to be,is/are/am,Cópula formal,formal;básico,時々 会社で 私は 本を これは本です,kore wa hon desu,Esto es un libro.,This is a book.,cloze,Jitopia
N5,Presente afirmativo,〜です,es/ser/to be,is/are/am,Cópula formal,formal;básico,毎日 公園で 私は 本を これは本です,kore wa hon desu,Esto es un libro.,This is a book.,cloze,Jitopia
N5,Presente afirmativo,〜です,es/ser/to be,is/are/am,Cópula formal,formal;básico,昨日 公園で 私は 本を これは本です,kore wa hon desu,Esto es un libro.,This is a book.,cloze,Jitopia
N5,Presente afirmativo,〜です,es/ser/to be,is/are/am,Cópula formal,formal;básico,今日 公園で 私は 本を これは本です,kore wa hon desu,Esto es un libro.,This is a book.,cloze,Jitopia
N5,Presente afirmativo,〜です,es/ser/to be,is/are/am,Cópula formal,formal;básico,明日 公園で 私は 本を これは本です,kore wa hon desu,Esto es un libro.,This is a book.,cloze,Jitopia
N5,Presente afirmativo,〜です,es/ser/to be,is/are/am,Cópula formal,formal;básico,時々 公園で 私は 本を これは本です,kore wa hon desu,Esto es un libro.,This is a book.,cloze,Jitopia
N5,Presente afirmativo,〜です,es/ser/to be,is/are/am,Cópula formal,formal;básico,毎日 図書館で 私は 本を これは本です,kore wa hon desu,Esto es un libro.,This is a book.,cloze,Jitopia
N5,Presente afirmativo,〜です,es/ser/to be,is/are/am,Cópula formal,formal;básico,昨日 図書館で 私は 本を これは本です,kore wa hon desu,Esto es un libro.,This is a book.,cloze,Jitopia
N5,Presente afirmativo,〜です,es/ser/to be,is/are/am,Cópula formal,formal;básico,今日 図書館で 私は 本を これは本です,kore wa hon desu,Esto es un libro.,This is a book.,cloze,Jitopia
N5,Presente afirmativo,〜です,es/ser/to be,is/are/am,Cópula formal,formal;básico,明日 図書館で 私は 本を これは本です,kore wa hon desu,Esto es un libro.,This is a book.,cloze,Jitopia
N5,Presente afirmativo,〜です,es/ser/to be,is/are/am,Cópula formal,formal;básico,時々 図書館で 私は 本を これは本です,kore wa hon desu,Esto es un libro.,This is a book.,cloze,Jitopia
N5,Presente afirmativo,〜です,es/ser/to be,is/are/am,Cópula formal,formal;básico,毎日 学校で 私は 水を これは本です,kore wa hon desu,Esto es un libro.,This is a book.,cloze,Jitopia
N5,Presente afirmativo,〜です,es/ser/to be,is/are/am,Cópula formal,formal;básico,昨日 学校で 私は 水を これは本です,kore wa hon desu,Esto es un libro.,This is a book.,cloze,Jitopia
N5,Presente afirmativo,〜です,es/ser/to be,is/are/am,Cópula formal,formal;básico,今日 学校で 私は 水を これは本です,kore wa hon desu,Esto es un libro.,This is a book.,cloze,Jitopia
N5,Presente afirmativo,〜です,es/ser/to be,is/are/am,Cópula formal,formal;básico,明日 学校で 私は 水を これは本です,kore wa hon desu,Esto es un libro.,This is a book.,cloze,Jitopia
N5,Presente afirmativo,〜です,es/ser/to be,is/are/am,Cópula formal,formal;básico,時々 学校で 私は 水を これは本です,kore wa hon desu,Esto es un libro.,This is a book.,cloze,Jitopia
N5,Presente afirmativo,〜です,es/ser/to be,is/are/am,Cópula formal,formal;básico,毎日 家で 私は 水を これは本です,kore wa hon desu,Esto es un libro.,This is a book.,cloze,Jitopia
N5,Presente afirmativo,〜です,es/ser/to be,is/are/am,Cópula formal,formal;básico,昨日 家で 私は 水を これは本です,kore wa hon desu,Esto es un libro.,This is a book.,cloze,Jitopia
N5,Presente afirmativo,〜です,es/ser/to be,is/are/am,Cópula formal,formal;básico,今日 家で 私は 水を これは本です,kore wa hon desu,Esto es un libro.,This is a book.,cloze,Jitopia
N5,Presente afirmativo,〜です,es/ser/to be,is/are/am,Cópula formal,formal;básico,明日 家で 私は 水を これは本です,kore wa hon desu,Esto es un libro.,This is a book.,cloze,Jitopia
N5,Presente afirmativo,〜です,es/ser/to be,is/are/am,Cópula formal,formal;básico,時々 家で 私は 水を これは本です,kore wa hon desu,Esto es un libro.,This is a book.,cloze,Jitopia
N5,Presente afirmativo,〜です,es/ser/to be,is/are/am,Cópula formal,formal;básico,毎日 会社で 私は 水を これは本です,kore wa hon desu,Esto es un libro.,This is a book.,cloze,Jitopia
N5,Presente afirmativo,〜です,es/ser/to be,is/are/am,Cópula formal,formal;básico,昨日 会社で 私は 水を これは本です,kore wa hon desu,Esto es un libro.,This is a book.,cloze,Jitopia
N5,Presente afirmativo,〜です,es/ser/to be,is/are/am,Cópula formal,formal;básico,今日 会社で 私は 水を これは本です,kore wa hon desu,Esto es un libro.,This is a book.,cloze,Jitopia
N5,Presente afirmativo,〜です,es/ser/to be,is/are/am,Cópula formal,formal;básico,明日 会社で 私は 水を これは本です,kore wa hon desu,Esto es un libro.,This is a book.,cloze,Jitopia
N5,Presente afirmativo,〜です,es/ser/to be,is/are/am,Cópula formal,formal;básico,時々 会社で 私は 水を これは本です,kore wa hon desu,Esto es un libro.,This is a book.,cloze,Jitopia
N5,Presente afirmativo,〜です,es/ser/to be,is/are/am,Cópula formal,formal;básico,毎日 公園で 私は 水を これは本です,kore wa hon desu,Esto es un libro.,This is a book.,cloze,Jitopia
N5,Presente afirmativo,〜です,es/ser/to be,is/are/am,Cópula formal,formal;básico,昨日 公園で 私は 水を これは本です,kore wa hon desu,Esto es un libro.,This is a book.,cloze,Jitopia
N5,Presente afirmativo,〜です,es/ser/to be,is/are/am,Cópula formal,formal;básico,今日 公園で 私は 水を これは本です,kore wa hon desu,Esto es un libro.,This is a book.,cloze,Jitopia
N5,Presente afirmativo,〜です,es/ser/to be,is/are/am,Cópula formal,formal;básico,明日 公園で 私は 水を これは本です,kore wa hon desu,Esto es un libro.,This is a book.,cloze,Jitopia
N5,Presente afirmativo,〜です,es/ser/to be,is/are/am,Cópula formal,formal;básico,時々 公園で 私は 水を これは本です,kore wa hon desu,Esto es un libro.,This is a book.,cloze,Jitopia
N5,Presente afirmativo,〜です,es/ser/to be,is/are/am,Cópula formal,formal;básico,毎日 図書館で 私は 水を これは本です,kore wa hon desu,Esto es un libro.,This is a book.,cloze,Jitopia
N5,Presente afirmativo,〜です,es/ser/to be,is/are/am,Cópula formal,formal;básico,昨日 図書館で 私は 水を これは本です,kore wa hon desu,Esto es un libro.,This is a book.,cloze,Jitopia
N5,Presente afirmativo,〜です,es/ser/to be,is/are/am,Cópula formal,formal;básico,今日 図書館で 私は 水を これは本です,kore wa hon desu,Esto es un libro.,This is a book.,cloze,Jitopia
N5,Presente afirmativo,〜です,es/ser/to be,is/are/am,Cópula formal,formal;básico,明日 図書館で 私は 水を これは本です,kore wa hon desu,Esto es un libro.,This is a book.,cloze,Jitopia
N5,Presente afirmativo,〜です,es/ser/to be,is/are/am,Cópula formal,formal;básico,時々 図書館で 私は 水を これは本です,kore wa hon desu,Esto es un libro.,This is a book.,cloze,Jitopia
N5,Presente afirmativo,〜です,es/ser/to be,is/are/am,Cópula formal,formal;básico,毎日 学校で 私は ご飯を これは本です,kore wa hon desu,Esto es un libro.,This is a book.,cloze,Jitopia
N5,Presente afirmativo,〜です,es/ser/to be,is/are/am,Cópula formal,formal;básico,昨日 学校で 私は ご飯を これは本です,kore wa hon desu,Esto es un libro.,This is a book.,cloze,Jitopia
N5,Presente afirmativo,〜です,es/ser/to be,is/are/am,Cópula formal,formal;básico,今日 学校で 私は ご飯を これは本です,kore wa hon desu,Esto es un libro.,This is a book.,cloze,Jitopia
N5,Presente afirmativo,〜です,es/ser/to be,is/are/am,Cópula formal,formal;básico,明日 学校で 私は ご飯を これは本です,kore wa hon desu,Esto es un libro.,This is a book.,cloze,Jitopia
N5,Presente afirmativo,〜です,es/ser/to be,is/are/am,Cópula formal,formal;básico,時々 学校で 私は ご飯を これは本です,kore wa hon desu,Esto es un libro.,This is a book.,cloze,Jitopia
N5,Presente afirmativo,〜です,es/ser/to be,is/are/am,Cópula formal,formal;básico,毎日 家で 私は ご飯を これは本です,kore wa hon desu,Esto es un libro.,This is a book.,cloze,Jitopia
N5,Presente afirmativo,〜です,es/ser/to be,is/are/am,Cópula formal,formal;básico,昨日 家で 私は ご飯を これは本です,kore wa hon desu,Esto es un libro.,This is a book.,cloze,Jitopia
N5,Presente afirmativo,〜です,es/ser/to be,is/are/am,Cópula formal,formal;básico,今日 家で 私は ご飯を これは本です,kore wa hon desu,Esto es un libro.,This is a book.,cloze,Jitopia
N5,Presente afirmativo,〜です,es/ser/to be,is/are/am,Cópula formal,formal;básico,明日 家で 私は ご飯を これは本です,kore wa hon desu,Esto es un libro.,This is a book.,cloze,Jitopia
N5,Presente afirmativo,〜です,es/ser/to be,is/are/am,Cópula formal,formal;básico,時々 家で 私は ご飯を これは本です,kore wa hon desu,Esto es un libro.,This is a book.,cloze,Jitopia
N5,Presente afirmativo,〜です,es/ser/to be,is/are/am,Cópula formal,formal;básico,毎日 会社で 私は ご飯を これは本です,kore wa hon desu,Esto es un libro.,This is a book.,cloze,Jitopia
N5,Presente afirmativo,〜です,es/ser/to be,is/are/am,Cópula formal,formal;básico,昨日 会社で 私は ご飯を これは本です,kore wa hon desu,Esto es un libro.,This is a book.,cloze,Jitopia
N5,Presente afirmativo,〜です,es/ser/to be,is/are/am,Cópula formal,formal;básico,今日 会社で 私は ご飯を これは本です,kore wa hon desu,Esto es un libro.,This is a book.,cloze,Jitopia
N5,Presente afirmativo,〜です,es/ser/to be,is/are/am,Cópula formal,formal;básico,明日 会社で 私は ご飯を これは本です,kore wa hon desu,Esto es un libro.,This is a book.,cloze,Jitopia
N5,Presente afirmativo,〜です,es/ser/to be,is/are/am,Cópula formal,formal;básico,時々 会社で 私は ご飯を これは本です,kore wa hon desu,Esto es un libro.,This is a book.,cloze,Jitopia
N5,Presente afirmativo,〜です,es/ser/to be,is/are/am,Cópula formal,formal;básico,毎日 公園で 私は ご飯を これは本です,kore wa hon desu,Esto es un libro.,This is a book.,cloze,Jitopia
N5,Presente afirmativo,〜です,es/ser/to be,is/are/am,Cópula formal,formal;básico,昨日 公園で 私は ご飯を これは本です,kore wa hon desu,Esto es un libro.,This is a book.,cloze,Jitopia
N5,Presente afirmativo,〜です,es/ser/to be,is/are/am,Cópula formal,formal;básico,今日 公園で 私は ご飯を これは本です,kore wa hon desu,Esto es un libro.,This is a book.,cloze,Jitopia
N5,Presente afirmativo,〜です,es/ser/to be,is/are/am,Cópula formal,formal;básico,明日 公園で 私は ご飯を これは本です,kore wa hon desu,Esto es un libro.,This is a book.,cloze,Jitopia
N5,Presente afirmativo,〜です,es/ser/to be,is/are/am,Cópula formal,formal;básico,時々 公園で 私は ご飯を これは本です,kore wa hon desu,Esto es un libro.,This is a book.,cloze,Jitopia
N5,Presente afirmativo,〜です,es/ser/to be,is/are/am,Cópula formal,formal;básico,毎日 図書館で 私は ご飯を これは本です,kore wa hon desu,Esto es un libro.,This is a book.,cloze,Jitopia
N5,Presente afirmativo,〜です,es/ser/to be,is/are/am,Cópula formal,formal;básico,昨日 図書館で 私は ご飯を これは本です,kore wa hon desu,Esto es un libro.,This is a book.,cloze,Jitopia
N5,Presente afirmativo,〜です,es/ser/to be,is/are/am,Cópula formal,formal;básico,今日 図書館で 私は ご飯を これは本です,kore wa hon desu,Esto es un libro.,This is a book.,cloze,Jitopia
N5,Presente afirmativo,〜です,es/ser/to be,is/are/am,Cópula formal,formal;básico,明日 図書館で 私は ご飯を これは本です,kore wa hon desu,Esto es un libro.,This is a book.,cloze,Jitopia
N5,Presente afirmativo,〜です,es/ser/to be,is/are/am,Cópula formal,formal;básico,時々 図書館で 私は ご飯を これは本です,kore wa hon desu,Esto es un libro.,This is a book.,cloze,Jitopia
N5,Presente afirmativo,〜です,es/ser/to be,is/are/am,Cópula formal,formal;básico,毎日 学校で 私は 日本語を これは本です,kore wa hon desu,Esto es un libro.,This is a book.,cloze,Jitopia
N5,Presente afirmativo,〜です,es/ser/to be,is/are/am,Cópula formal,formal;básico,昨日 学校で 私は 日本語を これは本です,kore wa hon desu,Esto es un libro.,This is a book.,cloze,Jitopia
N5,Presente afirmativo,〜です,es/ser/to be,is/are/am,Cópula formal,formal;básico,今日 学校で 私は 日本語を これは本です,kore wa hon desu,Esto es un libro.,This is a book.,cloze,Jitopia
N5,Presente afirmativo,〜です,es/ser/to be,is/are/am,Cópula formal,formal;básico,明日 学校で 私は 日本語を これは本です,kore wa hon desu,Esto es un libro.,This is a book.,cloze,Jitopia
N5,Presente afirmativo,〜です,es/ser/to be,is/are/am,Cópula formal,formal;básico,時々 学校で 私は 日本語を これは本です,kore wa hon desu,Esto es un libro.,This is a book.,cloze,Jitopia
N5,Presente afirmativo,〜です,es/ser/to be,is/are/am,Cópula formal,formal;básico,毎日 家で 私は 日本語を これは本です,kore wa hon desu,Esto es un libro.,This is a book.,cloze,Jitopia
N5,Presente afirmativo,〜です,es/ser/to be,is/are/am,Cópula formal,formal;básico,昨日 家で 私は 日本語を これは本です,kore wa hon desu,Esto es un libro.,This is a book.,cloze,Jitopia
N5,Presente afirmativo,〜です,es/ser/to be,is/are/am,Cópula formal,formal;básico,今日 家で 私は 日本語を これは本です,kore wa hon desu,Esto es un libro.,This is a book.,cloze,Jitopia
N5,Presente afirmativo,〜です,es/ser/to be,is/are/am,Cópula formal,formal;básico,明日 家で 私は 日本語を これは本です,kore wa hon desu,Esto es un libro.,This is a book.,cloze,Jitopia
N5,Presente afirmativo,〜です,es/ser/to be,is/are/am,Cópula formal,formal;básico,時々 家で 私は 日本語を これは本です,kore wa hon desu,Esto es un libro.,This is a book.,cloze,Jitopia
N5,Presente afirmativo,〜です,es/ser/to be,is/are/am,Cópula formal,formal;básico,毎日 会社で 私は 日本語を これは本です,kore wa hon desu,Esto es un libro.,This is a book.,cloze,Jitopia
N5,Presente afirmativo,〜です,es/ser/to be,is/are/am,Cópula formal,formal;básico,昨日 会社で 私は 日本語を これは本です,kore wa hon desu,Esto es un libro.,This is a book.,cloze,Jitopia
N5,Presente afirmativo,〜です,es/ser/to be,is/are/am,Cópula formal,formal;básico,今日 会社で 私は 日本語を これは本です,kore wa hon desu,Esto es un libro.,This is a book.,cloze,Jitopia
N5,Presente afirmativo,〜です,es/ser/to be,is/are/am,Cópula formal,formal;básico,明日 会社で 私は 日本語を これは本です,kore wa hon desu,Esto es un libro.,This is a book.,cloze,Jitopia
N5,Presente afirmativo,〜です,es/ser/to be,is/are/am,Cópula formal,formal;básico,時々 会社で 私は 日本語を これは本です,kore wa hon desu,Esto es un libro.,This is a book.,cloze,Jitopia
N5,Presente afirmativo,〜です,es/ser/to be,is/are/am,Cópula formal,formal;básico,毎日 公園で 私は 日本語を これは本です,kore wa hon desu,Esto es un libro.,This is a book.,cloze,Jitopia
N5,Presente afirmativo,〜です,es/ser/to be,is/are/am,Cópula formal,formal;básico,昨日 公園で 私は 日本語を これは本です,kore wa hon desu,Esto es un libro.,This is a book.,cloze,Jitopia
N5,Presente afirmativo,〜です,es/ser/to be,is/are/am,Cópula formal,formal;básico,今日 公園で 私は 日本語を これは本です,kore wa hon desu,Esto es un libro.,This is a book.,cloze,Jitopia
N5,Presente afirmativo,〜です,es/ser/to be,is/are/am,Cópula formal,formal;básico,明日 公園で 私は 日本語を これは本です,kore wa hon desu,Esto es un libro.,This is a book.,cloze,Jitopia
N5,Presente afirmativo,〜です,es/ser/to be,is/are/am,Cópula formal,formal;básico,時々 公園で 私は 日本語を これは本です,kore wa hon desu,Esto es un libro.,This is a book.,cloze,Jitopia
N5,Presente afirmativo,〜です,es/ser/to be,is/are/am,Cópula formal,formal;básico,毎日 図書館で 私は 日本語を これは本です,kore wa hon desu,Esto es un libro.,This is a book.,cloze,Jitopia
N5,Presente afirmativo,〜です,es/ser/to be,is/are/am,Cópula formal,formal;básico,昨日 図書館で 私は 日本語を これは本です,kore wa hon desu,Esto es un libro.,This is a book.,cloze,Jitopia
N5,Presente afirmativo,〜です,es/ser/to be,is/are/am,Cópula formal,formal;básico,今日 図書館で 私は 日本語を これは本です,kore wa hon desu,Esto es un libro.,This is a book.,cloze,Jitopia
N5,Presente afirmativo,〜です,es/ser/to be,is/are/am,Cópula formal,formal;básico,明日 図書館で 私は 日本語を これは本です,kore wa hon desu,Esto es un libro.,This is a book.,cloze,Jitopia
N5,Presente afirmativo,〜です,es/ser/to be,is/are/am,Cópula formal,formal;básico,時々 図書館で 私は 日本語を これは本です,kore wa hon desu,Esto es un libro.,This is a book.,cloze,Jitopia
N5,Presente afirmativo,〜です,es/ser/to be,is/are/am,Cópula formal,formal;básico,毎日 学校で 私は 音楽を これは本です,kore wa hon desu,Esto es un libro.,This is a book.,cloze,Jitopia
N5,Presente afirmativo,〜です,es/ser/to be,is/are/am,Cópula formal,formal;básico,昨日 学校で 私は 音楽を これは本です,kore wa hon desu,Esto es un libro.,This is a book.,cloze,Jitopia
N5,Presente afirmativo,〜です,es/ser/to be,is/are/am,Cópula formal,formal;básico,今日 学校で 私は 音楽を これは本です,kore wa hon desu,Esto es un libro.,This is a book.,cloze,Jitopia
N5,Presente afirmativo,〜です,es/ser/to be,is/are/am,Cópula formal,formal;básico,明日 学校で 私は 音楽を これは本です,kore wa hon desu,Esto es un libro.,This is a book.,cloze,Jitopia
N5,Presente afirmativo,〜です,es/ser/to be,is/are/am,Cópula formal,formal;básico,時々 学校で 私は 音楽を これは本です,kore wa hon desu,Esto es un libro.,This is a book.,cloze,Jitopia
N5,Presente afirmativo,〜です,es/ser/to be,is/are/am,Cópula formal,formal;básico,毎日 家で 私は 音楽を これは本です,kore wa hon desu,Esto es un libro.,This is a book.,cloze,Jitopia
